user_id,item_id,rating,ATMOSPHERE,BUILDING,BUILDING_ELEVATOR,BUILDING_HALL,DECOR,ENTARTAINMENT,ENTARTAINMENT_CASINO,ENTARTAINMENT_SHOPPING,ENTARTAINMENT_SPA,EXPERIENCE,EXPERIENCE_CHECKIN,EXPERIENCE_COMPANY,EXPERIENCE_COMPLAINTS,EXPERIENCE_OCCASION,EXPERIENCE_RESERVATION,FLIGHT,FOOD_DRINKS,FOOD_FOOD,FOOD_FOOD_DESERT,FOOD_RESTAURANT,GENERAL,HOTEL,INTERNET,LOCATION,MONEY,PARKING,ROOM_BATHROOM,ROOM_BED,ROOM_CLEANLINESS,ROOM_EQUIPMENT,ROOM_INTERIOR,ROOM_OVERALL,ROOM_SMOKE,SERVICE,SERVICE_FRONT_DESK,SERVICE_MANAGEMENT,SERVICE_SECURITY,SERVICE_WAITER,SERVISE_MAID,SPORT_GYM,SPORT_POOL,TAXI
6hvcowqr8NYug9u-Bzw8Jg,fpL1qcZ6qbWzC79WU0E-Ug,2,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,NULL,-1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,0,NULL,0,-1,NULL,NULL,NULL,NULL,NULL,0,NULL
oXuf9ZYDv2x_cjTo6E4q9A,fpL1qcZ6qbWzC79WU0E-Ug,2,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,1,NULL,NULL,NULL,0,NULL,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
77s2qg6JOqXy69stUku6ew,fpL1qcZ6qbWzC79WU0E-Ug,3,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,1,NULL,1,NULL,NULL,1,0,NULL,1,NULL,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL
Hi7VohxSS5OBt98w4j8t4A,fpL1qcZ6qbWzC79WU0E-Ug,4,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,0,NULL,NULL,0,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,-1,-1,NULL,NULL,1,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
h-F86jvayp6CniMBR_ZtuQ,fpL1qcZ6qbWzC79WU0E-Ug,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL,0,NULL,NULL,0,0,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
rIP5S5HZumKPx6ubpCN1NQ,fpL1qcZ6qbWzC79WU0E-Ug,4,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,1,NULL,1,1,-1,NULL,NULL,NULL,NULL,1,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
NOyfIyoqSdFFLJC4G3Yngg,fpL1qcZ6qbWzC79WU0E-Ug,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
sEZvhiIjrJcLOdeB_ygOMQ,fpL1qcZ6qbWzC79WU0E-Ug,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
b1k4tWoA_ISD7wqu82l8rA,fpL1qcZ6qbWzC79WU0E-Ug,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
nWouNfZD3Pw08RYizxkqcA,_yfprBETaYgySkKyl8ZWMQ,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL
q9XgOylNsSbqZqF_SO3-OQ,_yfprBETaYgySkKyl8ZWMQ,4,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
mt3yjgHWkrUmijiLf9VFPA,_yfprBETaYgySkKyl8ZWMQ,4,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0,NULL,NULL,NULL,NULL,1,NULL,NULL,-1,NULL,0,NULL,NULL,0,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
tF1qQ5Ik8tb1xtXcU-eW_A,_yfprBETaYgySkKyl8ZWMQ,3,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
W_QXYA7A0IhMrvbckz7eVg,_yfprBETaYgySkKyl8ZWMQ,4,NULL,0,-1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EKwGhgLrM18ErVKKeYE2UA,_yfprBETaYgySkKyl8ZWMQ,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
XBHJCDzNh--mBhJkzyM_iA,_yfprBETaYgySkKyl8ZWMQ,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
